OS Benchmark experiment
Test Name:,5.15.0-vanilla,
       ref          kbest:,0.000000017,
       ref        average:,0.000000018,0.000000006
       cpu          kbest:,0.003007391,
       cpu        average:,0.003009087,0.000001395
    getpid          kbest:,0.000000097,
    getpid        average:,0.000000103,0.000000021
context_switch          kbest:,0.000003404,
context_switch        average:,0.000003465,0.000000027
      send          kbest:,0.000000383,
      send        average:,0.000000431,0.000000378
      recv          kbest:,0.000000317,
      recv        average:,0.000000383,0.000001110
  big_send          kbest:,0.000005791,
  big_send        average:,0.000006320,0.000001588
  big_recv          kbest:,0.000004332,
  big_recv        average:,0.000004535,0.000001933
      fork          kbest:,0.000033555,
      fork       average:,0.000034821,0.000006958,
      fork    Child kbest:,0.000048828,
      fork Child average:,0.000050395,0.000008969,
thr_create          kbest:,0.000002857,
thr_create       average:,0.000003917,0.000007693,
thr_create    Child kbest:,0.000006055,
thr_create Child average:,0.000007326,0.000011653,
  big_fork          kbest:,0.001274357,
  big_fork       average:,0.001299038,0.000022843,
  big_fork    Child kbest:,0.001300300,
  big_fork Child average:,0.001324978,0.000023240,
 huge_fork          kbest:,0.002498501,
 huge_fork       average:,0.002548900,0.000046162,
 huge_fork    Child kbest:,0.002524728,
 huge_fork Child average:,0.002575152,0.000046246,
small_write          kbest:,0.000000589,
small_write        average:,0.000000624,0.000000684
small_read          kbest:,0.000000353,
small_read        average:,0.000000375,0.000002707
small_mmap          kbest:,0.000000410,
small_mmap        average:,0.000000455,0.000005965
small_munmap          kbest:,0.000001049,
small_munmap        average:,0.000001109,0.000000585
small_page_fault          kbest:,0.000000711,
small_page_fault        average:,0.000000752,0.000005600
 mid_write          kbest:,0.000003210,
 mid_write        average:,0.000003311,0.000000452
  mid_read          kbest:,0.000001829,
  mid_read        average:,0.000001962,0.000007792
  mid_mmap          kbest:,0.000000421,
  mid_mmap        average:,0.000000449,0.000001309
mid_munmap          kbest:,0.000003626,
mid_munmap        average:,0.000003760,0.000000228
mid_page_fault          kbest:,0.000001264,
mid_page_fault        average:,0.000001303,0.000001865
 big_write          kbest:,0.000477192,
 big_write        average:,0.000481780,0.000014330
  big_read          kbest:,0.000332192,
  big_read        average:,0.000333772,0.000002288
  big_mmap          kbest:,0.000000428,
  big_mmap        average:,0.000000462,0.000003097
big_munmap          kbest:,0.000107165,
big_munmap        average:,0.000109351,0.000002798
big_page_fault          kbest:,0.000001793,
big_page_fault        average:,0.000001886,0.000002193
huge_write          kbest:,0.010769809,
huge_write        average:,0.011466611,0.002730883
 huge_read          kbest:,0.011852314,
 huge_read        average:,0.012124264,0.000088617
 huge_mmap          kbest:,0.000000415,
 huge_mmap        average:,0.000000457,0.000003885
huge_munmap          kbest:,0.001508723,
huge_munmap        average:,0.001536726,0.000023565
huge_page_fault          kbest:,0.000001796,
huge_page_fault        average:,0.000001890,0.000002985
    select          kbest:,0.000000542,
    select        average:,0.000000668,0.000009689
      poll          kbest:,0.000000427,
      poll        average:,0.000000537,0.000007638
     epoll          kbest:,0.000000647,
     epoll        average:,0.000000745,0.000006254
select_big          kbest:,0.000056863,
select_big        average:,0.000108837,0.000187623
  poll_big          kbest:,0.000057923,
  poll_big        average:,0.000114609,0.000199846
 epoll_big          kbest:,0.000110114,
 epoll_big        average:,0.000178334,0.000198462
