,2023-11-19-21-37-01,2023-11-19-22-00-04,2023-11-19-22-23-12,2023-11-19-22-46-27,2023-11-19-23-09-36,mean
ref,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08
cpu,0.003008984,0.003009264,0.003009071,0.003009107,0.003009356,0.0030091564
getpid,1.03e-07,1.04e-07,1.02e-07,1.03e-07,1.02e-07,1.028e-07
context switch,3.45e-06,3.453e-06,3.45e-06,3.448e-06,3.454e-06,3.451e-06
send,4.46e-07,4.4e-07,4.37e-07,4.4e-07,4.39e-07,4.4040000000000005e-07
recv,3.79e-07,3.74e-07,3.83e-07,3.79e-07,3.8e-07,3.79e-07
big send,6.481e-06,6.318e-06,6.283e-06,6.346e-06,6.402e-06,6.366e-06
big recv,4.435e-06,4.469e-06,4.43e-06,4.426e-06,4.504e-06,4.4528e-06
fork,3.5423e-05,3.5312e-05,3.5469e-05,3.5096e-05,3.5454e-05,3.53508e-05
fork Child,5.2385e-05,5.0705e-05,5.2426e-05,5.1551e-05,5.2484e-05,5.19102e-05
thr create,4.003e-06,4.048e-06,4.113e-06,3.976e-06,3.929e-06,4.0138000000000004e-06
thr create Child,7.373e-06,7.462e-06,7.508e-06,7.384e-06,7.336e-06,7.4126e-06
big fork,0.001270871,0.001271846,0.001269925,0.001268345,0.001274383,0.0012710739999999999
big fork Child,0.001296323,0.001297457,0.001295488,0.001294897,0.00130018,0.001296869
huge fork,0.002520532,0.002532714,0.002521701,0.002513584,0.002522115,0.0025221292
huge fork Child,0.002546479,0.002558594,0.002547629,0.002540429,0.002547788,0.0025481838
small write,1.269e-06,1.655e-06,1.661e-06,1.579e-06,1.585e-06,1.5498e-06
small read,4.31e-07,4.48e-07,4.38e-07,4.51e-07,4.27e-07,4.3899999999999995e-07
small mmap,4.59e-07,4.3e-07,4.32e-07,4.46e-07,4.32e-07,4.398e-07
small munmap,1.076e-06,1.09e-06,1.074e-06,1.085e-06,1.088e-06,1.0826e-06
small page fault,7.29e-07,7.3e-07,7.24e-07,7.12e-07,7.2e-07,7.23e-07
mid write,4.78e-06,5.365e-06,5.418e-06,5.27e-06,5.234e-06,5.213400000000001e-06
mid read,1.962e-06,1.948e-06,1.978e-06,1.972e-06,2e-06,1.972e-06
mid mmap,4.56e-07,4.55e-07,4.39e-07,4.57e-07,4.46e-07,4.5059999999999997e-07
mid munmap,3.751e-06,3.712e-06,3.726e-06,3.731e-06,3.712e-06,3.7264e-06
mid page fault,1.306e-06,1.32e-06,1.297e-06,1.29e-06,1.296e-06,1.3017999999999998e-06
big write,0.000480232,0.000480744,0.000480799,0.000482134,0.000485653,0.0004819124
big read,0.000333506,0.000333892,0.000333855,0.000333462,0.000333265,0.0003335960000000001
big mmap,4.87e-07,4.5e-07,4.51e-07,4.31e-07,4.35e-07,4.508e-07
big munmap,0.000102406,0.000102484,0.000102596,0.000102392,0.00010223,0.00010242160000000002
big page fault,1.897e-06,1.907e-06,1.868e-06,1.876e-06,1.884e-06,1.8864e-06
huge write,0.011544085,0.011453895,0.011424774,0.011570476,0.011503782,0.0114994024
huge read,0.012214906,0.012230897,0.012459975,0.013114875,0.01264355,0.012532840600000001
huge mmap,4.5e-07,4.46e-07,4.65e-07,4.89e-07,4.33e-07,4.566e-07
huge munmap,0.001311231,0.001358564,0.00130517,0.001315729,0.001307684,0.0013196756
huge page fault,2.134e-06,1.923e-06,2.091e-06,1.869e-06,1.886e-06,1.9806e-06
select,6.73e-07,6.68e-07,6.58e-07,6.06e-07,6.27e-07,6.464e-07
poll,5.15e-07,5.08e-07,4.86e-07,5.1e-07,5.07e-07,5.052e-07
epoll,7.65e-07,8.06e-07,8.22e-07,7.61e-07,8e-07,7.907999999999999e-07
select big,0.00010861,0.000108471,0.000106311,0.000109571,0.000112216,0.0001090358
poll big,0.000111931,0.000114168,0.000113758,0.000112796,0.000113897,0.00011331
epoll big,0.000171774,0.000175217,0.000179578,0.000177659,0.00018106,0.00017705759999999998
