,2023-11-19-19-36-56,2023-11-19-20-01-09,2023-11-19-20-25-18,2023-11-19-20-49-35,2023-11-19-21-13-50,mean
ref,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08,1.8e-08
cpu,0.003009079,0.003009283,0.003009,0.00300895,0.003009483,0.003009159
getpid,1.03e-07,1.03e-07,1.03e-07,1.03e-07,1.02e-07,1.028e-07
context switch,3.451e-06,3.45e-06,3.447e-06,3.445e-06,3.448e-06,3.4482e-06
send,4.41e-07,4.4e-07,4.43e-07,4.39e-07,4.43e-07,4.4119999999999995e-07
recv,3.8e-07,3.83e-07,3.8e-07,3.77e-07,3.75e-07,3.79e-07
big send,6.397e-06,6.558e-06,6.343e-06,6.462e-06,6.297e-06,6.4114e-06
big recv,4.508e-06,4.425e-06,4.445e-06,4.452e-06,4.461e-06,4.4582e-06
fork,3.5351e-05,3.5385e-05,3.5688e-05,3.5197e-05,3.5369e-05,3.5398e-05
fork Child,5.2369e-05,5.096e-05,5.2759e-05,5.0693e-05,5.0907e-05,5.15376e-05
thr create,3.903e-06,3.92e-06,3.815e-06,3.828e-06,4.005e-06,3.894199999999999e-06
thr create Child,7.342e-06,7.251e-06,7.278e-06,7.208e-06,7.375e-06,7.2908e-06
big fork,0.00127145,0.001272451,0.001272599,0.001272448,0.001268598,0.0012715092
big fork Child,0.001296946,0.001298236,0.0012985,0.001296445,0.001292514,0.0012965282
huge fork,0.002522285,0.002520247,0.002524405,0.002531383,0.00252171,0.002524006
huge fork Child,0.002548163,0.002546208,0.002550481,0.002555855,0.002546135,0.0025493684
small write,1.287e-06,1.291e-06,1.274e-06,1.33e-06,1.28e-06,1.2924000000000001e-06
small read,4.21e-07,4.15e-07,4.59e-07,4.34e-07,4.11e-07,4.280000000000001e-07
small mmap,4.38e-07,4.43e-07,4.29e-07,4.44e-07,4.51e-07,4.41e-07
small munmap,1.078e-06,1.066e-06,1.073e-06,1.061e-06,1.08e-06,1.0716e-06
small page fault,7.22e-07,7.18e-07,7.12e-07,7.27e-07,7.16e-07,7.19e-07
mid write,4.839e-06,4.842e-06,4.8e-06,4.858e-06,4.823e-06,4.8324e-06
mid read,2e-06,1.96e-06,1.967e-06,1.998e-06,2.006e-06,1.9862e-06
mid mmap,4.6e-07,4.67e-07,4.6e-07,4.45e-07,4.6e-07,4.584e-07
mid munmap,3.732e-06,3.714e-06,3.725e-06,3.709e-06,3.741e-06,3.7241999999999994e-06
mid page fault,1.305e-06,1.302e-06,1.283e-06,1.315e-06,1.294e-06,1.2998e-06
big write,0.000480239,0.00048055,0.000495154,0.000482519,0.000481248,0.00048394199999999996
big read,0.00033228,0.000333418,0.000332012,0.000333543,0.000333465,0.0003329436
big mmap,4.63e-07,4.63e-07,4.47e-07,4.77e-07,4.64e-07,4.6280000000000004e-07
big munmap,0.000102368,0.000102295,0.000102085,0.000102348,0.000102456,0.00010231039999999999
big page fault,1.941e-06,1.877e-06,1.909e-06,1.903e-06,1.894e-06,1.9047999999999997e-06
huge write,0.010268173,0.010266132,0.010370016,0.010430169,0.010681497,0.0104031974
huge read,0.016397323,0.016651577,0.016525999,0.016672982,0.016861834,0.016621943
huge mmap,4.46e-07,4.61e-07,4.8e-07,4.6e-07,4.57e-07,4.608e-07
huge munmap,0.001385935,0.001425207,0.00141267,0.001400481,0.001438904,0.0014126394
huge page fault,1.936e-06,1.883e-06,1.901e-06,1.541e-06,1.897e-06,1.8316000000000002e-06
select,6.44e-07,6.73e-07,6.5e-07,6.89e-07,6.33e-07,6.578000000000001e-07
poll,4.97e-07,5.21e-07,4.97e-07,4.95e-07,5e-07,5.019999999999999e-07
epoll,7.92e-07,7.78e-07,7.53e-07,7.64e-07,7.76e-07,7.726e-07
select big,0.000106393,0.000104346,0.000106734,0.000112188,0.000110262,0.0001079846
poll big,0.000111809,0.000108356,0.00011392,0.000113946,0.000115731,0.0001127524
epoll big,0.000169892,0.000172956,0.000168331,0.000172808,0.00016895,0.00017058739999999999
